outlet,city,county,host,type,owner,in_sources,source_status,articles,in_blue_book,web_access
Charleston Enterprise-Courier,Charleston,,www.enterprisecourier.com,print native,Carlin Bennett,no,,0,yes,print or replica only
East Prairie Eagle,East Prairie,,www.enterprisecourier.com,print native,Carlin Bennett,no,,0,yes,print or replica only
Lawson Review,Lawson,,www.facebook.com,print native,Anita Duncan,no,,0,yes,no web edition
Mound City News,Mound City,,www.moundcitynews.com,print native,Adam Johnson,no,,0,yes,print or replica only
Focus On Oak Grove,Oak Grove,,www.theodessan.net,print native,John & Joe Spaar,no,,0,yes,print or replica only
Odessa Odessan,Odessa,,www.theodessan.net,print native,John & Joe Spaar,no,,0,yes,print or replica only
Slater Main Street News,Slater,,www.slatermainstreetnews.com,print native,Jean E. Black,no,,0,yes,print or replica only
Summersville Beacon,Summersville,,www.sbeacon.com,print native,Sharon Vaughn,no,,0,yes,print or replica only
Morgan County Statesman,Versailles,,www.morgancountystatesman.com,print native,Bryan E. Jones,no,,0,yes,print or replica only
