host,name,city,county,owner,type,status,articles
midriversnewsmagazine.com,Mid Rivers Newsmagazine,Chesterfield,St. Charles,"21 Publishing, LLC",print native,active,43
the-standard.org,The Standard,Springfield,Greene,Missouri State University,print native,active,43
www.excelsiorcitizen.com,Excelsior Citizen,Excelsior Springs,Clay,"Sticky Wicket Media, LLC",print native,active,35
www.trentontelegraph.com,Trenton Telegraph,Trenton,Grundy,CherryRoad Media,print native,active,35
www.digitalburg.com,The Daily BURG,Warrensburg,Johnson,The University of Central Missouri,print native,retired,20
www.929thebeat.com,KOSP/The Beat,Springfield,Greene,Mid-West Family Broadcasting,audio broadcast,retired,19
www.riverfronttimes.com,St. Louis Riverfront Times,St. Louis,St. Louis,Euclid Media Group,print native,retired,17
websterjournal.com,The Journal/The Webster Journal,Webster Groves,St. Louis,Webster University,print native,retired,11
stonecountyrepublican.com,Stone County Republican / Crane Chronicle,Crane,Stone,Lancaster Management Inc.,print native,active,8
www.audacy.com/971talk,KFTK,St. Louis,St. Louis,Audacy Inc,audio broadcast,retired,7
www.legends1063.fm,KRZK,Branson,Taney,KOMC-KRZK,audio broadcast,retired,3
audacy.com,KMBZ,Mission,Johnson,Audacy Inc,audio_broadcast,paused,1
ky3.com,KSPR/KY3,Springfield,Greene,Gray Media,video broadcast,retired,0
thenewsdispatch.net,Seneca News Dispatch,Neosho,Newton,Sexton Media Group Inc.,print native,retired,0
whatsupkansascity.net,What's Up Kansas City,Kansas City,Jackson,"Carlos M. Nelson, Sr.",digital native,retired,0
www.archstl.org,St. Louis Review,St. Louis,St. Louis,Archdiocese of St. Louis,print native,retired,0
www.monett-times.com,The Monett Times,Monett,Lawrence,Rust Communications,print native,retired,0
www.newstime-mo.com,Newstime,St. Louis,St. Louis,Lakeway Publishers,print native,retired,0
www.pulaskicountydaily.com,Pulaski County Mirror/Daily News,St. Robert,Pulaski,Lebanon Publishing Co,print native,retired,0
